category,price,rating,stock,title,upc
Biography,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Spirituality,[17.66],[5.0],[18],The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50
Biography,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Spirituality,[20.91],[1.0],[9],If I Gave You God's Phone Number....: Searching for Spirituality in America,8fab4c4f6f82a4ce
Spirituality,[55.65],[5.0],[4],A New Earth: Awakening to Your Life's Purpose,f6ae39568db1130e
Spirituality,[37.8],[2.0],[15],Chasing Heaven: What Dying Taught Me About Living,513271dadc1322ae
Spirituality,[32.24],[5.0],[16],The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b
Spirituality,[46.33],[2.0],[7],Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,48cb52d78c992487
Fiction,http://books.toscrape.com/media/cache/05/37/053789bf4a9b520bf76fc9eea14e780e.jpg,[49.13],[5.0],[3],Crazy Rich Asians (Crazy Rich Asians #1),c9782ad2a0ed9331
Fiction,http://books.toscrape.com/media/cache/c5/3f/c53fd6a9300ac091351e3830273a4d42.jpg,[22.11],[1.0],[3],Big Little Lies,d3f9c4539c0caa64
Fiction,http://books.toscrape.com/media/cache/ec/15/ec15a39e6f193636635f20a7354b08f6.jpg,[41.0],[5.0],[3],Inferno (Robert Langdon #4),6c4646d90b60a56c
Fiction,http://books.toscrape.com/media/cache/26/9e/269e8962f39f359559a46cae86576128.jpg,[44.97],[1.0],[3],Jurassic Park (Jurassic Park #1),a0dd11f6abc421ec
Fiction,http://books.toscrape.com/media/cache/a6/37/a6378b97d817267de38ba58dfd0db412.jpg,[12.34],[5.0],[1],The Silent Wife,b78deb463531d078
Fiction,http://books.toscrape.com/media/cache/f8/dd/f8ddbaef30884ed017b662b4069b78d4.jpg,[51.96],[3.0],[1],When I'm Gone,c5f91eb481427dc5
Fiction,http://books.toscrape.com/media/cache/fb/6c/fb6c914f1da870442031095c85f4cf80.jpg,[30.66],[3.0],[1],The Bette Davis Club,dfb0849016bc122c
Fiction,http://books.toscrape.com/media/cache/26/4f/264f79395041ac4b88038030da0433cd.jpg,[39.07],[5.0],[1],Bright Lines,230ac636ea0ea415
Fiction,http://books.toscrape.com/media/cache/ed/be/edbe83ef3ebf5c22b9ebc139d3232947.jpg,[57.2],[5.0],[1],Kitchens of the Great Midwest,06f6a57a6d532844
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Suspense,http://books.toscrape.com/media/cache/00/bf/00bf1ae17dde21c66e346dd9c393d6fa.jpg,[58.33],[3.0],[8],Silence in the Dark (Logan Point #4),e46a164cf310fd7d
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Suspense,http://books.toscrape.com/media/cache/00/bf/00bf1ae17dde21c66e346dd9c393d6fa.jpg,[58.33],[3.0],[8],Silence in the Dark (Logan Point #4),e46a164cf310fd7d
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Christian Fiction,http://books.toscrape.com/media/cache/54/17/54179d9af49616b1ef35a0bb23294b14.jpg,[49.97],[4.0],[3],If I Run (If I Run #1),61569d12d4ae7161
Christian Fiction,http://books.toscrape.com/media/cache/1b/38/1b3825668326e82038ba33bca646e0f3.jpg,[28.77],[2.0],[7],Like Never Before (Walker Family #2),b6670507e85b30e6
Christian Fiction,http://books.toscrape.com/media/cache/94/f4/94f4405dae04559ecdd92e62486623e3.jpg,[49.46],[4.0],[15],Close to You,a57b1dcbd6849222
Christian Fiction,http://books.toscrape.com/media/cache/c9/74/c974d74fa0bd1735c6ae172d40b1c077.jpg,[20.47],[5.0],[15],Redeeming Love,b53db2271c9624f7
Christian Fiction,http://books.toscrape.com/media/cache/33/93/339372341b88e027734e97fa1ddb26fc.jpg,[17.97],[5.0],[7],Counted With the Stars (Out from Egypt #1),4807043b8218e9ce
Christian Fiction,http://books.toscrape.com/media/cache/61/3a/613ac19c2232f1d9adc5943291a5e860.jpg,[39.67],[5.0],[8],Shadows of the Past (Logan Point #1),bee6e93e9976f4fa
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Short Stories,http://books.toscrape.com/media/cache/7e/cc/7ecc23cfaa84fb015a5333f2a5d97f23.jpg,[35.88],[1.0],[8],The Grownup,1bba4b1ba23ed2d6
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Horror,http://books.toscrape.com/media/cache/bb/c0/bbc0bdad3ad7f390017ea66bb7019579.jpg,[21.36],[1.0],[15],Follow You Home,8585760646e3aa2a
Horror,http://books.toscrape.com/media/cache/79/2b/792bdeb2cf7d8efaef0e401e5a27b4da.jpg,[39.25],[2.0],[16],Security,6f78a0d744c35456
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Horror,http://books.toscrape.com/media/cache/91/98/9198cedbd37561f2aa343d3eb04ee703.jpg,[36.97],[5.0],[12],Psycho: Sanitarium (Psycho #1.5),b8d7b3f5c7a95d65
Horror,http://books.toscrape.com/media/cache/30/05/30053f9d8549febc67059c52fca65744.jpg,[40.12],[2.0],[14],Doctor Sleep (The Shining #2),bf5de316a5e9a4ab
Horror,http://books.toscrape.com/media/cache/99/ef/99ef2f3987ee016bdd120a4579ef98f5.jpg,[10.56],[3.0],[14],Pet Sematary,af58a74e4b2a23a0
Horror,http://books.toscrape.com/media/cache/f9/40/f9409b5717cc44f29aa444d85ad26bdc.jpg,[25.01],[3.0],[4],It,670a2773607d785d
Horror,http://books.toscrape.com/media/cache/4a/ce/4acec5ebebf374e7a84a5d8c74ee5752.jpg,[23.37],[3.0],[5],Red Dragon (Hannibal Lecter #1),e958ae92f328c181
Horror,http://books.toscrape.com/media/cache/84/cc/84cc7f93a8c6c766a6297a23227e68e8.jpg,[23.4],[1.0],[14],The Loney,2d88a31f325dfd3b
Horror,http://books.toscrape.com/media/cache/03/83/0383a7f9cce4ab8fa1c5db6e69b169c6.jpg,[48.64],[1.0],[12],Can You Keep a Secret? (Fear Street Relaunch #4),d069086944f2e330
Horror,http://books.toscrape.com/media/cache/d3/55/d35568710e773adf06a0bc756a99f66d.jpg,[49.56],[4.0],[4],'Salem's Lot,6e9403f00acd6752
Horror,http://books.toscrape.com/media/cache/cc/fb/ccfb8bb0f63377a67fb0a39d513f6cab.jpg,[34.79],[2.0],[4],Misery,81d4191030b9704b
Horror,http://books.toscrape.com/media/cache/d2/d8/d2d818d6654086560072fe1d42189636.jpg,[47.51],[4.0],[4],Needful Things,70b585c9d0f15725
Horror,http://books.toscrape.com/media/cache/20/c2/20c2ff61355569b4f84e2f847e37db25.jpg,[54.89],[1.0],[3],House of Leaves,557c03c284be1bf2
Horror,http://books.toscrape.com/media/cache/9a/91/9a911066cb404976bcc25dbc8817432a.jpg,[49.47],[3.0],[3],The Girl with All the Gifts,92dcc54a27107a37
Horror,http://books.toscrape.com/media/cache/f9/8b/f98bdf42af5e223bc0f6ea6bd0a48a53.jpg,[57.86],[2.0],[3],The Stand,49f24193f0b961e6
Horror,http://books.toscrape.com/media/cache/b8/84/b8843e0c3fbadb1682b095c99eda7f7a.jpg,[12.75],[4.0],[4],Night Shift (Night Shift #1-20),869d20b3b8128230
Horror,http://books.toscrape.com/media/cache/b1/f2/b1f25fa4623b3ee2db6fb6d6e27c6fb5.jpg,[35.63],[5.0],[5],Dracula the Un-Dead,e46b1074b99ac4b6
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Parenting,http://books.toscrape.com/media/cache/3c/b9/3cb9c84d2a6a66f8bb6601d4f33deaa0.jpg,[37.35],[2.0],[3],Catastrophic Happiness: Finding Joy in Childhood's Messy Years,ef49db2aaa9bb547
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Classics,http://books.toscrape.com/media/cache/f1/78/f17805e88aed31aae352ab250b2a379d.jpg,[15.08],[4.0],[5],The Secret Garden,abbb492978ff656d
Classics,http://books.toscrape.com/media/cache/9b/33/9b33c3c40c8d27054a3edf96cbf6a2fb.jpg,[28.58],[1.0],[5],The Metamorphosis,93379e3a2072a01b
Classics,http://books.toscrape.com/media/cache/55/a9/55a942b0c092c40bdbb6a1f1be340984.jpg,[28.07],[4.0],[4],Little Women (Little Women #1),deda806b68b0aa11
Classics,http://books.toscrape.com/media/cache/9d/fe/9dfe2a73c6a1a1c09927c904de641ebf.jpg,[14.82],[2.0],[4],The Hound of the Baskervilles (Sherlock Holmes #5),6587f46697fc4443
Classics,http://books.toscrape.com/media/cache/ac/ee/acee20cff19be38cc3efc5e9b50afae4.jpg,[32.49],[3.0],[4],Gone with the Wind,23310ce84d3c9f85
Classics,http://books.toscrape.com/media/cache/6f/b0/6fb0c3064656f888125ab577b6a01867.jpg,[35.01],[2.0],[3],And Then There Were None,cfe350b20d23b02b
Classics,http://books.toscrape.com/media/cache/91/2a/912acfe6ee354d9d9bf3c1fa517c4252.jpg,[50.26],[2.0],[4],The Pilgrim's Progress,6053ddf69c967d5f
Classics,http://books.toscrape.com/media/cache/3d/8c/3d8cd7a42d3e57cb10e02f9ab76bd549.jpg,[38.35],[2.0],[3],Beowulf,3fb69f34e178d494
Classics,http://books.toscrape.com/media/cache/99/df/99df494c230127c3d5ff53153d1f23a3.jpg,[55.53],[1.0],[1],Alice in Wonderland (Alice's Adventures in Wonderland #1),cd2a2a70dd5d176d
Classics,http://books.toscrape.com/media/cache/67/29/67297ff3ae6cb02884c52e5250fe7c1a.jpg,[29.7],[2.0],[3],The Picture of Dorian Gray,b9f6305a3d650e2c
Classics,http://books.toscrape.com/media/cache/55/2d/552d55d44dcc0f27e98b3e7dc3959e1a.jpg,[26.78],[4.0],[3],The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),cad70d6ffd53912f
Classics,http://books.toscrape.com/media/cache/ae/98/ae98d08a6f427491dd8eda6b51af41fe.jpg,[32.93],[2.0],[1],Emma,2e69730561ed70ad
Classics,http://books.toscrape.com/media/cache/e7/7d/e77d917c495e649216225bd47e006482.jpg,[58.63],[3.0],[4],Candide,2798974abc8a58a8
Classics,http://books.toscrape.com/media/cache/a8/57/a857deea83c7d4c66e2920e1cf5d8fe0.jpg,[37.46],[1.0],[1],Sense and Sensibility,35e44170702139a4
Classics,http://books.toscrape.com/media/cache/a0/bb/a0bb0881c8ee6f5866804cf0a437853f.jpg,[47.11],[2.0],[1],Of Mice and Men,39592d9d72e717c4
Classics,http://books.toscrape.com/media/cache/c0/d6/c0d67625e62981155f5e1f553bda1a94.jpg,[45.42],[2.0],[1],The Little Prince,1aeca7d078d57deb
Classics,http://books.toscrape.com/media/cache/d8/64/d8644073d00c000cb60643256080cc4b.jpg,[17.73],[3.0],[3],Wuthering Heights,5a7ff9aaa3168878
Classics,http://books.toscrape.com/media/cache/b5/5b/b55be7e5c18b62cef6ebeae404f7f643.jpg,[43.19],[4.0],[1],The Story of Hong Gildong,32d035df92ab9080
Classics,http://books.toscrape.com/media/cache/73/b9/73b9d68a89e6d037f1afdc70f96bad09.jpg,[57.22],[3.0],[4],Animal Farm,1451b55e5e56bb89
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Academic,http://books.toscrape.com/media/cache/2b/44/2b4404e00c242bf1b8263bdd99c07354.jpg,[13.12],[2.0],[5],Logan Kade (Fallen Crest High #5.5),7093cf549cd2e7de
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Add a comment,http://books.toscrape.com/media/cache/c7/26/c7260547c468dbe78af92cf3927c2a1c.jpg,[19.09],[1.0],[16],The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf
Add a comment,http://books.toscrape.com/media/cache/78/cb/78cb28a3e8804131e8e0c3f7b8deb2fc.jpg,[28.26],[5.0],[15],Modern Romance,caf4fe9311f1dc59
Add a comment,http://books.toscrape.com/media/cache/11/40/11400b5532ad710359584a68db50f33c.jpg,[25.91],[5.0],[14],The White Queen (The Cousins' War #1),6875c5657661b2fb
Add a comment,http://books.toscrape.com/media/cache/f5/3b/f53bc7b18914c97de7c23967293be119.jpg,[40.76],[3.0],[16],The Art Forger,80cfab6bcff3a244
Add a comment,http://books.toscrape.com/media/cache/75/9d/759d9276739200e2cb8101a36449ba20.jpg,[14.07],[3.0],[16],On a Midnight Clear,b757c0c361e689ce
Add a comment,http://books.toscrape.com/media/cache/c9/eb/c9eb6ecf45abf796df0044600db65e55.jpg,[23.89],[4.0],[16],"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7
Add a comment,http://books.toscrape.com/media/cache/6d/80/6d80608ef81001ad068df06fae44b7f8.jpg,[53.9],[2.0],[16],Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),228f74b74f3a08ae
Add a comment,http://books.toscrape.com/media/cache/f3/7f/f37f3173a97baeac6b6421c54a6df7b5.jpg,[29.06],[3.0],[15],"Shobu Samurai, Project Aryoku (#3)",0c27e6c3744fc14b
Add a comment,http://books.toscrape.com/media/cache/92/4d/924d855a0ad5774410b0bb7c71afa788.jpg,[40.67],[2.0],[14],The Immortal Life of Henrietta Lacks,f72f61ad6a5f12ed
Add a comment,http://books.toscrape.com/media/cache/4e/56/4e56783b21a3a5c73e32e59241a351ac.jpg,[37.4],[5.0],[14],The Song of Achilles,e88fb1c9397cfb27
Add a comment,http://books.toscrape.com/media/cache/64/ab/64ab238bea10c4f25fa5bc9129a35370.jpg,[37.86],[4.0],[13],Rook,44d97b6707dae3f0
Add a comment,http://books.toscrape.com/media/cache/e7/00/e7000cd6975d8932b9178de9386b944d.jpg,[37.61],[2.0],[14],More Than Music (Chasing the Dream #1),47d47155e89c8be7
Add a comment,http://books.toscrape.com/media/cache/65/9a/659ada7d88e3bda8db70f7e5312a39e2.jpg,[22.13],[4.0],[14],Code Name Verity (Code Name Verity #1),33a3e0e3ffde0dcd
Add a comment,http://books.toscrape.com/media/cache/24/86/248641d1d03b4dbfe3a7db4e20552973.jpg,[48.78],[1.0],[14],The Dovekeepers,3d76bc83c6b644c9
Add a comment,http://books.toscrape.com/media/cache/07/5f/075fff6094c0805f9f6b9e12561aeb87.jpg,[56.48],[2.0],[14],"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",c1379d3744f1dd2c
Add a comment,http://books.toscrape.com/media/cache/bd/93/bd930adc47ee0dc240f8134f70f431ad.jpg,[40.79],[2.0],[14],A People's History of the United States,1ad06aed9349af46
Add a comment,http://books.toscrape.com/media/cache/03/da/03da11f81eda5e742df8a39e90c21c70.jpg,[20.29],[4.0],[14],Cell,bfbb54bc8cdeed2b
Add a comment,http://books.toscrape.com/media/cache/d8/63/d8630e50f24c22765c9591a9297ff2e1.jpg,[26.2],[1.0],[12],The Midnight Watch: A Novel of the Titanic and the Californian,14e44163678e24dc
Add a comment,http://books.toscrape.com/media/cache/ba/d9/bad95369105e8e403bf1f2b9288c5e41.jpg,[34.2],[2.0],[14],Angels Walking (Angels Walking #1),1fbb5f786e53a0ce
Add a comment,http://books.toscrape.com/media/cache/19/11/1911d173c8e812518900af9aa16d9e46.jpg,[55.51],[1.0],[14],A Brush of Wings (Angels Walking #3),01a177623cce9596
Add a comment,http://books.toscrape.com/media/cache/39/a9/39a9cca83d84bff87903d4addbef4941.jpg,[59.15],[4.0],[12],The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,3063c7e95d0bf76f
Add a comment,http://books.toscrape.com/media/cache/41/d7/41d75d4206b13bf107e86fa41f21afff.jpg,[35.79],[2.0],[9],23 Degrees South: A Tropical Tale of Changing Whether...,61cf7eb9d2cd8bb0
Add a comment,http://books.toscrape.com/media/cache/b3/0b/b30bf2a60739293261c9a997c7ae2ef6.jpg,[11.88],[3.0],[12],The Children,64fd010bf8d15096
Add a comment,http://books.toscrape.com/media/cache/a0/76/a07621adcf3e13b4d3bcdc0474ab2098.jpg,[58.05],[4.0],[9],Watchmen,d1848064c54e01c7
Add a comment,http://books.toscrape.com/media/cache/f5/02/f502c42183ea69987a796d2e396b2bab.jpg,[50.49],[3.0],[9],A Hero's Curse (The Unseen Chronicles #1),c181ca8eabe7d18c
Add a comment,http://books.toscrape.com/media/cache/6c/21/6c21a47589ec756b9ed27e2f331c08de.jpg,[48.27],[5.0],[9],Without Shame,ab60e6f5a63e1cfb
Add a comment,http://books.toscrape.com/media/cache/98/f8/98f8b3354fc18ed6f42ff5c3f9b39056.jpg,[15.71],[4.0],[12],One with You (Crossfire #5),81ef44fcc5f454df
Add a comment,http://books.toscrape.com/media/cache/a5/13/a513b65a8f7696c8aec48a607f7f90d3.jpg,[18.77],[1.0],[6],The Golden Compass (His Dark Materials #1),d33824cb93ecab6f
Add a comment,http://books.toscrape.com/media/cache/2c/81/2c8137d1d0a3ebb2f74d7abf45916606.jpg,[43.27],[4.0],[6],The Joy of Cooking,d326e189b1210916
Add a comment,http://books.toscrape.com/media/cache/a5/7a/a57a35a22d7a06fa9987121e4883e4de.jpg,[37.05],[5.0],[7],Good in Bed (Cannie Shapiro #1),c00bc29a678a6efb
Add a comment,http://books.toscrape.com/media/cache/fd/5f/fd5f36fce14114f5b982e1e69d9a2f69.jpg,[57.43],[4.0],[7],John Adams,68407606544d6f22
Add a comment,http://books.toscrape.com/media/cache/38/03/3803cd158a57e03763dc2200f81eba65.jpg,[16.24],[1.0],[7],The Glass Castle,47f4fd3e8e1dac05
Add a comment,http://books.toscrape.com/media/cache/2f/7f/2f7f108c7b56c6adac8510eb43ff4f79.jpg,[30.57],[2.0],[5],The Raven King (The Raven Cycle #4),2e4fc5eacceec12c
Add a comment,http://books.toscrape.com/media/cache/8f/83/8f83b65ba6a734aa7f40675b74a17c21.jpg,[35.67],[3.0],[7],The Drowning Girls,7a10353c9c54cf7c
Add a comment,http://books.toscrape.com/media/cache/48/4d/484d8afc2cf8b77a45fa4fec0a5e7b89.jpg,[22.37],[1.0],[5],Find Her (Detective D.D. Warren #8),b28c7d07afa7063b
Add a comment,http://books.toscrape.com/media/cache/48/c1/48c15c510ce0089db10a4f5f9fce7ecd.jpg,[56.59],[4.0],[6],Fun Home: A Family Tragicomic,56a34d0cec11d6b0
Add a comment,http://books.toscrape.com/media/cache/be/22/be229bc9bc4655c7cb2c906998d5ef2e.jpg,[20.12],[5.0],[7],Team of Rivals: The Political Genius of Abraham Lincoln,ba047a636b7d3793
Add a comment,http://books.toscrape.com/media/cache/d7/ce/d7ce17649c77c9addfcf265012d0436e.jpg,[48.51],[3.0],[6],Mere Christianity,f38f37ed934d84b2
Add a comment,http://books.toscrape.com/media/cache/30/35/3035b6c5dc0a48a83fbe84eb37e76f10.jpg,[46.85],[3.0],[6],The God Delusion,2bc80eba94950873
Add a comment,http://books.toscrape.com/media/cache/6a/87/6a8706826789aa47fbbb8a2459b4c616.jpg,[19.27],[4.0],[6],Pride and Prejudice,720c36b2bee4692e
Add a comment,http://books.toscrape.com/media/cache/69/97/69978f609f9c1cb470ce1aa0774cf9d1.jpg,[22.13],[4.0],[3],"The End of Faith: Religion, Terror, and the Future of Reason",b3f2bc2cefb35f05
